24小时：末路重生　　　　　　　　　	real: 0.7%　　　　　	predict: 0.71%　　　　	accuracy: 98.71%
七十七天　　　　　　　　　　　　　　	real: 2.2%　　　　　	predict: 2.13%　　　　	accuracy: 98.46%
小Q　　　　　　　　　　　　　　　　	real: 1.46%　　　　	predict: 1.51%　　　　	accuracy: 98.16%
铤而走险　　　　　　　　　　　　　　	real: 1.64%　　　　	predict: 1.57%　　　　	accuracy: 97.89%
如影随心　　　　　　　　　　　　　　	real: 0.69%　　　　	predict: 0.74%　　　　	accuracy: 96.97%
为你写诗　　　　　　　　　　　　　　	real: 0.88%　　　　	predict: 0.82%　　　　	accuracy: 96.41%
叶问外传：张天志　　　　　　　　　　	real: 2.38%　　　　	predict: 2.59%　　　　	accuracy: 95.75%
找到你　　　　　　　　　　　　　　　	real: 3.59%　　　　	predict: 3.24%　　　　	accuracy: 94.99%
九龙不败　　　　　　　　　　　　　　	real: 0.68%　　　　	predict: 0.76%　　　　	accuracy: 94.8%
相声大电影之我要幸福　　　　　　　　	real: 0.94%　　　　	predict: 1.05%　　　　	accuracy: 94.6%
家和万事惊　　　　　　　　　　　　　	real: 1.21%　　　　	predict: 1.35%　　　　	accuracy: 94.36%
断片之险途夺宝　　　　　　　　　　　	real: 1.52%　　　　	predict: 1.36%　　　　	accuracy: 94.34%
兄弟，别闹！　　　　　　　　　　　　	real: 0.87%　　　　	predict: 0.78%　　　　	accuracy: 94.08%
黑暗迷宫　　　　　　　　　　　　　　	real: 0.55%　　　　	predict: 0.62%　　　　	accuracy: 93.8%
二麻租媳妇　　　　　　　　　　　　　	real: 0.04%　　　　	predict: 0.04%　　　　	accuracy: 93.71%
素人特工　　　　　　　　　　　　　　	real: 0.82%　　　　	predict: 0.72%　　　　	accuracy: 93.24%
假如王子睡着了　　　　　　　　　　　	real: 0.52%　　　　	predict: 0.6%　　　　　	accuracy: 93.19%
跳舞吧！大象　　　　　　　　　　　　	real: 0.68%　　　　	predict: 0.78%　　　　	accuracy: 93.0%
昨日青空　　　　　　　　　　　　　　	real: 1.69%　　　　	predict: 1.96%　　　　	accuracy: 92.52%
天生不对　　　　　　　　　　　　　　	real: 1.06%　　　　	predict: 1.29%　　　　	accuracy: 90.18%
烽火芳菲　　　　　　　　　　　　　　	real: 1.5%　　　　　	predict: 1.23%　　　　	accuracy: 90.09%
你好，之华　　　　　　　　　　　　　	real: 1.8%　　　　　	predict: 1.45%　　　　	accuracy: 89.15%
全职高手之巅峰荣耀　　　　　　　　　	real: 1.77%　　　　	predict: 1.4%　　　　　	accuracy: 88.56%
暴裂无声　　　　　　　　　　　　　　	real: 1.6%　　　　　	predict: 1.25%　　　　	accuracy: 87.87%
决胜时刻　　　　　　　　　　　　　　	real: 1.34%　　　　	predict: 1.73%　　　　	accuracy: 87.4%
妈阁是座城　　　　　　　　　　　　　	real: 1.1%　　　　　	predict: 1.43%　　　　	accuracy: 87.09%
转型团伙　　　　　　　　　　　　　　	real: 0.54%　　　　	predict: 0.7%　　　　　	accuracy: 86.84%
功夫联盟　　　　　　　　　　　　　　	real: 1.24%　　　　	predict: 0.94%　　　　	accuracy: 86.28%
我说的都是真的　　　　　　　　　　　	real: 0.67%　　　　	predict: 0.88%　　　　	accuracy: 86.17%
因为爱情　　　　　　　　　　　　　　	real: 0.23%　　　　	predict: 0.17%　　　　	accuracy: 85.98%
龙凤斗　　　　　　　　　　　　　　　	real: 0.19%　　　　	predict: 0.25%　　　　	accuracy: 85.88%
潜艇总动员：海底两万里　　　　　　　	real: 1.73%　　　　	predict: 1.3%　　　　　	accuracy: 85.87%
21克拉　　　　　　　　　　　　　　	real: 0.43%　　　　	predict: 0.58%　　　　	accuracy: 85.55%
低压槽：欲望之城　　　　　　　　　　	real: 1.1%　　　　　	predict: 0.81%　　　　	accuracy: 84.9%
卧底巨星　　　　　　　　　　　　　　	real: 1.15%　　　　	predict: 0.84%　　　　	accuracy: 84.41%
风语咒　　　　　　　　　　　　　　　	real: 1.2%　　　　　	predict: 1.65%　　　　	accuracy: 84.2%
