一年之初　　　　　　　　　	real: 6.3　　	predict: 6.3  	accuracy: 100.0%
红孩儿大话火焰山　　　　　	real: 6.7　　	predict: 6.7  	accuracy: 99.97%
烂赌英雄　　　　　　　　　	real: 6.3　　	predict: 6.31 	accuracy: 99.92%
旧梦不须记　　　　　　　　	real: 6.6　　	predict: 6.62 	accuracy: 99.82%
最想念的季节　　　　　　　	real: 7.8　　	predict: 7.83 	accuracy: 99.82%
美好2012　　　　　　　	    real: 6.4　　	predict: 6.42 	accuracy: 99.81%
金装大酒店　　　　　　　　	real: 6.4　　	predict: 6.37 	accuracy: 99.8%
儿童不宜成人之危	        real: 9.4　　	predict: 9.36 	accuracy: 99.79%
太阳有耳　　　　　　　　　	real: 7.2　　	predict: 7.17 	accuracy: 99.79%
超级整蛊霸王　　　　　　　	real: 5.6　　	predict: 5.63 	accuracy: 99.75%
入魔　　　　　　　　　　　	real: 5.7　　	predict: 5.73 	accuracy: 99.75%
痴线特警出更　　　　　　　	real: 6.6　　	predict: 6.56 	accuracy: 99.68%
黄子华栋笃笑之洗燥　　　　	real: 9.3　　	predict: 9.36 	accuracy: 99.67%
姊妹情深　　　　　　　　　	real: 6.7　　	predict: 6.75 	accuracy: 99.65%
雀圣3自摸三百番　　　　　	real: 5.6　　	predict: 5.64 	accuracy: 99.63%
大贏家　　　　　　　　　　	real: 5.5　　	predict: 5.54 	accuracy: 99.61%
维多利亚一号　　　　　　　	real: 7.2　　	predict: 7.14 	accuracy: 99.56%
狐鬼嬉春　　　　　　　　　	real: 5.7　　	predict: 5.64 	accuracy: 99.49%
虎豹龙蛇鹰　　　　　　　　	real: 6.4　　	predict: 6.47 	accuracy: 99.47%
爱的逃兵　　　　　　　　　	real: 6.4　　	predict: 6.33 	accuracy: 99.46%
初恋无限Touch　　　　	    real: 7.4　　	predict: 7.32 	accuracy: 99.44%
蓝月　　　　　　　　　　　	real: 6.7　　	predict: 6.62 	accuracy: 99.43%
海上花　　　　　　　　　　	real: 7.2　　	predict: 7.11 	accuracy: 99.38%
鬼剧院之惊青艳女郎　　　　	real: 5.4　　	predict: 5.47 	accuracy: 99.38%
裤甲天下　　　　　　　　　	real: 6.5　　	predict: 6.42 	accuracy: 99.37%
城寨出来者　　　　　　　　	real: 7.0　　	predict: 7.09 	accuracy: 99.33%
僵尸医生　　　　　　　　　	real: 5.9　　	predict: 5.98 	accuracy: 99.31%
特殊的爱　　　　　　　　　	real: 5.7　　	predict: 5.78 	accuracy: 99.29%
上天救命　　　　　　　　　	real: 6.4　　	predict: 6.49 	accuracy: 99.28%
哗众取宠　　　　　　　　　	real: 9.5　　	predict: 9.36 	accuracy: 99.26%
祝您好运　　　　　　　　　	real: 6.3　　	predict: 6.4  	accuracy: 99.23%
梦醒时分　　　　　　　　　	real: 6.6　　	predict: 6.71 	accuracy: 99.19%
天灵灵地灵灵　　　　　　　	real: 5.8　　	predict: 5.71 	accuracy: 99.18%
精装追女仔之3狼之一族　　	real: 6.1　　	predict: 6.0  	accuracy: 99.18%
杀科　　　　　　　　　　　	real: 5.8　　	predict: 5.9  	accuracy: 99.16%
王牌情敌　　　　　　　　　	real: 5.5　　	predict: 5.41 	accuracy: 99.15%
台上台下　　　　　　　　　	real: 7.6　　	predict: 7.47 	accuracy: 99.15%
绝种铁金刚　　　　　　　　	real: 5.6　　	predict: 5.5  	accuracy: 99.09%
一屋两妻　　　　　　　　　	real: 6.4　　	predict: 6.52 	accuracy: 99.03%
胡越的故事　　　　　　　　	real: 7.0　　	predict: 6.87 	accuracy: 99.03%
亡命鸳鸯　　　　　　　　　	real: 6.8　　	predict: 6.93 	accuracy: 99.02%
花心红杏　　　　　　　　　	real: 5.7　　	predict: 5.82 	accuracy: 99.0%
小生怕怕　　　　　　　　　	real: 6.7　　	predict: 6.57 	accuracy: 98.99%
化骨龙与千年虫　　　　　　	real: 5.9　　	predict: 5.78 	accuracy: 98.97%
吴三桂与陈圆圆　　　　　　	real: 6.1　　	predict: 5.97 	accuracy: 98.96%
表姐，你好嘢！4之情不自禁	real: 5.9　　	predict: 6.02 	accuracy: 98.95%
赢钱专家　　　　　　　　　	real: 6.0　　	predict: 6.13 	accuracy: 98.94%
未来警察　　　　　　　　　	real: 3.9　　	predict: 3.82 	accuracy: 98.94%
人骨麻将　　　　　　　　　	real: 5.3　　	predict: 5.18 	accuracy: 98.88%
城市之光　　　　　　　　　	real: 7.0　　	predict: 6.84 	accuracy: 98.85%
求恋期　　　　　　　　　　	real: 7.0　　	predict: 6.84 	accuracy: 98.81%
缘份　　　　　　　　　　　	real: 7.2　　	predict: 7.37 	accuracy: 98.8%
水玲珑　　　　　　　　　　	real: 6.3　　	predict: 6.45 	accuracy: 98.8%
龙跨四海之致命情人　　　　	real: 4.4　　	predict: 4.29 	accuracy: 98.78%
枕边凶灵　　　　　　　　　	real: 5.8　　	predict: 5.66 	accuracy: 98.76%
别恋　　　　　　　　　　　	real: 7.0　　	predict: 6.83 	accuracy: 98.75%
秋前算账　　　　　　　　　	real: 9.6　　	predict: 9.36 	accuracy: 98.74%
澳门街　　　　　　　　　　	real: 6.2　　	predict: 6.36 	accuracy: 98.73%
铁甲无敌玛利亚　　　　　　	real: 6.2　　	predict: 6.36 	accuracy: 98.69%
天使出更　　　　　　　　　	real: 6.3　　	predict: 6.14 	accuracy: 98.68%
